date,city,year,month,month_name,season,temp_max,temp_min,temp_avg,rainfall_mm,humidity_pct,wind_kmph,visibility_km,aqi,condition
2015-02-19,Mumbai,2015,2,Feb,Winter,28.8,21.1,25.0,0.0,69,8.2,11.7,154,Clear
2015-02-20,Mumbai,2015,2,Feb,Winter,30.3,21.5,25.9,0.0,75,20.1,15.1,147,Clear
2015-02-21,Mumbai,2015,2,Feb,Winter,27.2,23.1,25.1,0.0,76,24.8,13.6,101,Clear
2015-02-22,Mumbai,2015,2,Feb,Winter,30.9,23.3,27.1,0.0,69,14.4,21.0,84,Clear
2015-02-23,Mumbai,2015,2,Feb,Winter,29.2,22.8,26.0,0.0,74,17.9,4.5,173,Clear
2015-02-24,Mumbai,2015,2,Feb,Winter,27.5,23.0,25.2,0.0,81,28.9,12.8,126,Clear
2015-02-25,Mumbai,2015,2,Feb,Winter,28.8,23.0,25.9,0.0,83,14.2,11.7,160,Clear
2015-02-26,Mumbai,2015,2,Feb,Winter,24.9,23.9,24.4,0.0,76,18.0,11.6,118,Clear
2015-02-27,Mumbai,2015,2,Feb,Winter,29.9,22.9,26.4,0.0,80,18.7,7.8,94,Clear
2015-02-28,Mumbai,2015,2,Feb,Winter,27.5,22.5,25.0,0.0,78,25.9,17.4,121,Clear
2015-03-01,Mumbai,2015,3,Mar,Summer,35.4,26.5,30.9,0.0,75,32.9,21.0,114,Clear
2015-03-02,Mumbai,2015,3,Mar,Summer,31.8,27.2,29.5,0.0,70,24.3,14.2,20,Clear
2015-03-03,Mumbai,2015,3,Mar,Summer,33.5,23.8,28.6,0.0,68,20.9,17.9,89,Clear
2015-03-04,Mumbai,2015,3,Mar,Summer,33.1,27.8,30.5,0.0,81,16.9,14.6,51,Clear
2015-03-05,Mumbai,2015,3,Mar,Summer,32.4,24.7,28.5,0.0,79,17.3,16.4,68,Clear
2015-03-06,Mumbai,2015,3,Mar,Summer,28.3,24.9,26.6,0.0,77,17.6,16.3,69,Clear
2015-03-07,Mumbai,2015,3,Mar,Summer,34.3,26.4,30.3,0.0,76,5.2,8.2,76,Clear
2015-03-08,Mumbai,2015,3,Mar,Summer,33.6,27.8,30.7,0.0,73,15.6,16.2,121,Clear
2015-03-09,Mumbai,2015,3,Mar,Summer,32.2,27.9,30.1,7.6,88,32.0,13.8,89,Light Rain
2015-03-10,Mumbai,2015,3,Mar,Summer,33.0,27.6,30.3,0.0,73,23.5,20.3,20,Clear
2015-03-11,Mumbai,2015,3,Mar,Summer,30.2,23.6,26.9,0.0,76,23.7,22.5,62,Clear
2015-03-12,Mumbai,2015,3,Mar,Summer,34.4,24.3,29.4,0.0,69,17.6,16.9,59,Clear
2015-03-13,Mumbai,2015,3,Mar,Summer,28.9,25.9,27.4,0.0,71,23.4,16.8,31,Clear
2015-03-14,Mumbai,2015,3,Mar,Summer,31.2,24.7,27.9,0.0,77,25.6,10.1,75,Clear
2015-03-15,Mumbai,2015,3,Mar,Summer,31.2,25.0,28.1,0.0,77,9.7,12.2,24,Clear
2015-03-16,Mumbai,2015,3,Mar,Summer,34.9,26.0,30.4,0.0,74,19.7,14.4,53,Clear
2015-03-17,Mumbai,2015,3,Mar,Summer,32.9,26.9,29.9,0.0,75,13.4,13.6,20,Clear
2015-03-18,Mumbai,2015,3,Mar,Summer,29.7,27.6,28.6,0.0,86,16.0,17.9,69,Foggy
2015-03-19,Mumbai,2015,3,Mar,Summer,36.6,27.3,32.0,0.0,77,10.4,7.0,66,Hot
2015-03-20,Mumbai,2015,3,Mar,Summer,30.9,24.3,27.6,0.0,74,9.3,23.4,86,Clear
2015-03-21,Mumbai,2015,3,Mar,Summer,32.0,27.8,29.9,0.0,78,11.1,22.6,76,Clear
2015-03-22,Mumbai,2015,3,Mar,Summer,30.4,25.8,28.1,0.0,73,6.9,19.6,117,Clear
2015-03-23,Mumbai,2015,3,Mar,Summer,29.9,26.7,28.3,0.0,74,14.1,12.0,34,Clear
2015-03-24,Mumbai,2015,3,Mar,Summer,32.1,25.0,28.6,0.0,79,17.6,13.8,32,Clear
2015-03-25,Mumbai,2015,3,Mar,Summer,31.1,26.9,29.0,0.0,80,10.2,15.5,82,Clear
2015-03-26,Mumbai,2015,3,Mar,Summer,29.5,26.7,28.1,0.0,74,22.6,11.2,20,Clear
2015-03-27,Mumbai,2015,3,Mar,Summer,29.6,26.1,27.9,0.0,79,10.8,18.2,20,Clear
2015-03-28,Mumbai,2015,3,Mar,Summer,31.9,24.5,28.2,0.0,74,18.4,10.7,48,Clear
2015-03-29,Mumbai,2015,3,Mar,Summer,33.5,25.3,29.4,0.0,82,9.0,17.6,103,Clear
2015-03-30,Mumbai,2015,3,Mar,Summer,28.3,25.0,26.6,1.7,78,18.7,17.4,107,Light Rain
2015-03-31,Mumbai,2015,3,Mar,Summer,31.8,26.1,29.0,6.3,75,14.5,17.0,47,Light Rain
2015-04-01,Mumbai,2015,4,Apr,Summer,36.4,32.5,34.5,0.0,82,15.4,21.0,47,Hot
2015-04-02,Mumbai,2015,4,Apr,Summer,32.9,28.8,30.9,0.0,68,15.2,15.1,110,Clear
2015-04-03,Mumbai,2015,4,Apr,Summer,36.5,29.7,33.1,0.0,82,0.3,16.2,83,Hot
2015-04-04,Mumbai,2015,4,Apr,Summer,33.8,31.4,32.6,0.0,79,14.7,18.2,128,Clear
2015-04-05,Mumbai,2015,4,Apr,Summer,36.3,30.3,33.3,0.7,72,11.5,22.5,72,Light Rain
2015-04-06,Mumbai,2015,4,Apr,Summer,35.5,31.0,33.2,0.0,84,14.4,12.9,43,Clear
2015-04-07,Mumbai,2015,4,Apr,Summer,37.4,31.2,34.3,0.0,84,26.1,6.8,68,Hot
2015-04-08,Mumbai,2015,4,Apr,Summer,34.4,29.4,31.9,0.0,78,24.7,10.5,20,Clear
2015-04-09,Mumbai,2015,4,Apr,Summer,36.3,33.2,34.8,0.0,76,18.4,23.9,77,Hot
2015-04-10,Mumbai,2015,4,Apr,Summer,36.3,30.5,33.4,0.0,79,8.9,8.3,116,Hot
2015-04-11,Mumbai,2015,4,Apr,Summer,36.3,30.1,33.2,10.4,73,17.0,15.3,92,Rainy
2015-04-12,Mumbai,2015,4,Apr,Summer,33.5,31.8,32.6,0.0,77,14.6,9.9,20,Clear
2015-04-13,Mumbai,2015,4,Apr,Summer,37.2,30.1,33.7,0.0,71,7.6,13.3,110,Hot
2015-04-14,Mumbai,2015,4,Apr,Summer,35.6,28.2,31.9,0.0,76,15.8,1.5,58,Clear
2015-04-15,Mumbai,2015,4,Apr,Summer,35.7,30.8,33.2,0.0,87,27.0,13.7,26,Foggy
2015-04-16,Mumbai,2015,4,Apr,Summer,39.9,30.1,35.0,0.0,78,17.8,16.0,55,Hot
2015-04-17,Mumbai,2015,4,Apr,Summer,35.1,29.3,32.2,0.0,77,13.7,11.4,63,Clear
2015-04-18,Mumbai,2015,4,Apr,Summer,35.6,31.8,33.7,0.0,64,26.7,21.2,20,Clear
2015-04-19,Mumbai,2015,4,Apr,Summer,35.5,29.6,32.5,0.0,70,11.8,9.4,112,Clear
2015-04-20,Mumbai,2015,4,Apr,Summer,37.4,31.5,34.5,0.0,81,9.0,12.4,74,Hot
2015-04-21,Mumbai,2015,4,Apr,Summer,34.2,30.9,32.5,0.0,76,15.0,18.6,73,Clear
2015-04-22,Mumbai,2015,4,Apr,Summer,35.5,31.4,33.5,0.0,72,22.9,18.0,50,Clear
2015-04-23,Mumbai,2015,4,Apr,Summer,36.5,28.5,32.5,0.0,82,16.5,12.4,91,Hot
2015-04-24,Mumbai,2015,4,Apr,Summer,34.9,28.3,31.6,0.0,70,22.8,8.6,112,Clear
2015-04-25,Mumbai,2015,4,Apr,Summer,32.9,32.0,32.5,0.0,79,17.2,12.3,71,Clear
2015-04-26,Mumbai,2015,4,Apr,Summer,35.9,31.3,33.6,0.0,78,19.2,13.2,58,Clear
2015-04-27,Mumbai,2015,4,Apr,Summer,36.5,27.9,32.2,0.0,71,23.9,15.9,54,Hot
2015-04-28,Mumbai,2015,4,Apr,Summer,36.0,30.4,33.2,0.0,75,11.8,16.0,30,Clear
2015-04-29,Mumbai,2015,4,Apr,Summer,36.6,28.0,32.3,0.0,83,21.8,16.3,89,Hot
2015-04-30,Mumbai,2015,4,Apr,Summer,38.5,31.2,34.9,0.0,68,7.8,11.9,60,Hot
2015-05-01,Mumbai,2015,5,May,Summer,38.8,31.1,35.0,0.0,78,12.0,11.9,20,Hot
2015-05-02,Mumbai,2015,5,May,Summer,36.6,30.4,33.5,0.0,73,26.4,10.3,138,Hot
2015-05-03,Mumbai,2015,5,May,Summer,38.7,32.2,35.5,0.0,73,23.6,12.1,63,Hot
2015-05-04,Mumbai,2015,5,May,Summer,41.8,31.9,36.8,0.0,83,12.4,14.8,113,Hot
2015-05-05,Mumbai,2015,5,May,Summer,37.1,34.2,35.7,1.1,80,22.3,9.6,87,Light Rain
2015-05-06,Mumbai,2015,5,May,Summer,35.4,33.4,34.4,0.0,71,16.2,20.3,63,Clear
2015-05-07,Mumbai,2015,5,May,Summer,39.2,32.7,36.0,4.3,82,21.7,14.6,20,Light Rain
2015-05-08,Mumbai,2015,5,May,Summer,38.6,32.2,35.4,0.0,79,7.8,9.6,91,Hot
2015-05-09,Mumbai,2015,5,May,Summer,37.9,32.8,35.3,0.0,78,18.2,19.7,44,Hot
2015-05-10,Mumbai,2015,5,May,Summer,38.1,31.4,34.8,0.0,75,15.5,16.1,45,Hot
2015-05-11,Mumbai,2015,5,May,Summer,39.9,30.9,35.4,0.0,77,14.5,22.2,65,Hot
2015-05-12,Mumbai,2015,5,May,Summer,39.5,30.2,34.9,8.7,71,22.7,18.6,61,Light Rain
2015-05-13,Mumbai,2015,5,May,Summer,39.8,31.2,35.5,0.0,75,0.0,19.6,69,Hot
2015-05-14,Mumbai,2015,5,May,Summer,35.5,29.9,32.7,0.0,73,24.3,13.5,35,Clear
2015-05-15,Mumbai,2015,5,May,Summer,36.5,30.7,33.6,1.1,77,19.9,22.8,30,Light Rain
2015-05-16,Mumbai,2015,5,May,Summer,39.5,31.7,35.6,0.0,77,23.4,9.4,71,Hot
2015-05-17,Mumbai,2015,5,May,Summer,38.2,32.6,35.4,3.7,70,18.6,12.4,42,Light Rain
2015-05-18,Mumbai,2015,5,May,Summer,38.8,31.3,35.0,0.0,75,16.7,13.1,24,Hot
2015-05-19,Mumbai,2015,5,May,Summer,39.2,33.3,36.2,0.0,79,15.0,11.5,38,Hot
2015-05-20,Mumbai,2015,5,May,Summer,41.5,33.1,37.3,0.0,73,19.3,13.2,77,Hot
2015-05-21,Mumbai,2015,5,May,Summer,38.8,33.3,36.0,0.0,73,18.8,6.3,22,Hot
2015-05-22,Mumbai,2015,5,May,Summer,39.3,30.9,35.1,0.0,73,17.9,18.5,28,Hot
2015-05-23,Mumbai,2015,5,May,Summer,32.8,31.0,31.9,0.0,84,20.7,21.6,26,Clear
2015-05-24,Mumbai,2015,5,May,Summer,35.5,32.6,34.0,0.0,79,20.4,19.7,72,Clear
2015-05-25,Mumbai,2015,5,May,Summer,38.6,32.9,35.8,0.0,80,24.9,20.0,105,Hot
2015-05-26,Mumbai,2015,5,May,Summer,37.0,32.6,34.8,0.0,76,11.3,11.6,74,Hot
2015-05-27,Mumbai,2015,5,May,Summer,38.6,32.5,35.5,0.0,76,18.0,19.1,20,Hot
2015-05-28,Mumbai,2015,5,May,Summer,38.0,32.1,35.0,0.0,81,7.2,22.5,66,Hot
2015-05-29,Mumbai,2015,5,May,Summer,38.4,31.5,35.0,0.0,80,18.4,21.0,20,Hot
2015-05-30,Mumbai,2015,5,May,Summer,38.3,32.5,35.4,0.0,77,14.8,13.2,65,Hot
2015-05-31,Mumbai,2015,5,May,Summer,35.3,33.2,34.2,0.0,75,19.0,16.8,44,Clear
2015-06-01,Mumbai,2015,6,Jun,Monsoon,34.8,26.6,30.7,0.0,96,26.6,3.2,47,Foggy
2015-06-02,Mumbai,2015,6,Jun,Monsoon,33.2,28.8,31.0,23.8,87,23.7,16.2,43,Rainy
2015-06-03,Mumbai,2015,6,Jun,Monsoon,33.1,30.0,31.6,45.2,91,8.8,7.2,78,Rainy
2015-06-04,Mumbai,2015,6,Jun,Monsoon,33.2,31.0,32.1,0.0,97,16.3,5.7,39,Foggy
2015-06-05,Mumbai,2015,6,Jun,Monsoon,35.1,28.7,31.9,6.9,92,26.9,8.3,73,Light Rain
2015-06-06,Mumbai,2015,6,Jun,Monsoon,35.9,29.5,32.7,0.0,96,28.6,8.0,81,Foggy
2015-06-07,Mumbai,2015,6,Jun,Monsoon,34.9,30.7,32.8,0.0,89,32.4,7.4,20,Foggy
2015-06-08,Mumbai,2015,6,Jun,Monsoon,35.2,28.2,31.7,4.7,89,26.0,6.8,59,Light Rain
2015-06-09,Mumbai,2015,6,Jun,Monsoon,34.7,28.2,31.5,0.0,99,14.0,10.1,27,Foggy
2015-06-10,Mumbai,2015,6,Jun,Monsoon,35.6,29.6,32.6,0.6,88,17.6,15.0,25,Light Rain
2015-06-11,Mumbai,2015,6,Jun,Monsoon,37.3,30.1,33.7,0.0,91,18.2,8.0,20,Foggy
2015-06-12,Mumbai,2015,6,Jun,Monsoon,34.6,28.2,31.4,0.0,87,15.8,24.0,79,Foggy
2015-06-13,Mumbai,2015,6,Jun,Monsoon,34.1,29.7,31.9,2.7,94,11.6,12.1,70,Light Rain
2015-06-14,Mumbai,2015,6,Jun,Monsoon,35.6,29.8,32.7,24.3,98,13.7,10.8,65,Rainy
2015-06-15,Mumbai,2015,6,Jun,Monsoon,38.1,28.2,33.1,11.2,91,19.6,4.9,44,Rainy
2015-06-16,Mumbai,2015,6,Jun,Monsoon,35.9,30.4,33.1,0.0,99,17.2,5.2,82,Foggy
2015-06-17,Mumbai,2015,6,Jun,Monsoon,33.3,29.7,31.5,17.1,91,4.7,8.5,79,Rainy
2015-06-18,Mumbai,2015,6,Jun,Monsoon,34.3,30.9,32.6,6.4,85,34.0,14.5,113,Light Rain
2015-06-19,Mumbai,2015,6,Jun,Monsoon,32.6,28.3,30.5,13.5,99,29.0,6.0,71,Rainy
2015-06-20,Mumbai,2015,6,Jun,Monsoon,35.7,29.3,32.5,3.0,94,15.7,3.4,58,Light Rain
2015-06-21,Mumbai,2015,6,Jun,Monsoon,34.8,30.3,32.5,10.8,98,4.1,6.6,26,Rainy
2015-06-22,Mumbai,2015,6,Jun,Monsoon,33.1,30.4,31.8,0.0,90,20.8,7.4,74,Foggy
2015-06-23,Mumbai,2015,6,Jun,Monsoon,35.1,27.5,31.3,0.0,97,14.0,3.6,47,Foggy
2015-06-24,Mumbai,2015,6,Jun,Monsoon,37.3,30.0,33.6,2.7,97,27.8,10.6,57,Light Rain
2015-06-25,Mumbai,2015,6,Jun,Monsoon,35.5,30.6,33.0,0.0,91,21.0,6.7,43,Foggy
2015-06-26,Mumbai,2015,6,Jun,Monsoon,35.1,28.2,31.6,0.0,92,9.7,7.0,73,Foggy
2015-06-27,Mumbai,2015,6,Jun,Monsoon,34.1,29.0,31.6,2.4,97,20.8,10.0,20,Light Rain
2015-06-28,Mumbai,2015,6,Jun,Monsoon,38.1,28.8,33.5,2.3,88,23.2,16.4,40,Light Rain
2015-06-29,Mumbai,2015,6,Jun,Monsoon,36.6,28.8,32.7,2.9,97,22.0,7.9,70,Light Rain
2015-06-30,Mumbai,2015,6,Jun,Monsoon,38.6,28.9,33.8,0.0,94,26.4,10.2,95,Foggy
2015-07-01,Mumbai,2015,7,Jul,Monsoon,32.0,23.6,27.8,0.0,99,8.8,8.2,37,Foggy
2015-07-02,Mumbai,2015,7,Jul,Monsoon,30.9,25.4,28.1,30.7,94,29.5,8.9,70,Rainy
2015-07-03,Mumbai,2015,7,Jul,Monsoon,28.5,23.9,26.2,0.0,98,22.6,9.3,79,Foggy
2015-07-04,Mumbai,2015,7,Jul,Monsoon,32.9,24.7,28.8,0.0,93,9.8,4.3,20,Foggy
2015-07-05,Mumbai,2015,7,Jul,Monsoon,29.7,26.9,28.3,8.9,89,7.4,11.6,90,Light Rain
2015-07-06,Mumbai,2015,7,Jul,Monsoon,30.0,27.7,28.9,0.0,97,15.4,1.2,128,Foggy
2015-07-07,Mumbai,2015,7,Jul,Monsoon,28.9,23.0,25.9,0.0,98,37.5,10.9,76,Foggy
2015-07-08,Mumbai,2015,7,Jul,Monsoon,31.9,26.0,28.9,0.0,96,20.2,7.8,58,Foggy
2015-07-09,Mumbai,2015,7,Jul,Monsoon,29.9,24.7,27.3,0.0,84,17.2,10.1,26,Clear
2015-07-10,Mumbai,2015,7,Jul,Monsoon,31.3,26.7,29.0,0.0,97,5.4,5.0,88,Foggy
2015-07-11,Mumbai,2015,7,Jul,Monsoon,29.5,24.7,27.1,3.0,88,22.4,24.2,66,Light Rain
2015-07-12,Mumbai,2015,7,Jul,Monsoon,31.2,23.9,27.5,0.0,99,17.4,6.0,61,Foggy
2015-07-13,Mumbai,2015,7,Jul,Monsoon,31.7,25.2,28.4,13.8,93,18.3,5.8,40,Rainy
2015-07-14,Mumbai,2015,7,Jul,Monsoon,28.9,27.1,28.0,27.5,91,24.0,9.3,38,Rainy
2015-07-15,Mumbai,2015,7,Jul,Monsoon,32.2,24.3,28.2,0.0,99,11.4,8.1,36,Foggy
2015-07-16,Mumbai,2015,7,Jul,Monsoon,34.3,23.5,28.9,0.0,95,12.1,6.6,73,Foggy
2015-07-17,Mumbai,2015,7,Jul,Monsoon,32.8,26.9,29.8,0.0,85,20.1,22.3,20,Clear
2015-07-18,Mumbai,2015,7,Jul,Monsoon,31.5,25.0,28.2,0.0,95,11.8,3.9,20,Foggy
2015-07-19,Mumbai,2015,7,Jul,Monsoon,32.5,26.3,29.4,71.1,95,31.0,6.5,53,Heavy Rain
2015-07-20,Mumbai,2015,7,Jul,Monsoon,30.1,23.8,27.0,3.9,90,16.4,5.6,61,Light Rain
2015-07-21,Mumbai,2015,7,Jul,Monsoon,30.1,25.8,28.0,0.0,98,18.9,8.7,123,Foggy
2015-07-22,Mumbai,2015,7,Jul,Monsoon,29.2,23.5,26.4,16.6,99,21.4,5.8,58,Rainy
2015-07-23,Mumbai,2015,7,Jul,Monsoon,31.8,25.1,28.5,0.0,95,10.6,7.9,20,Foggy
2015-07-24,Mumbai,2015,7,Jul,Monsoon,30.8,23.9,27.4,21.2,99,8.3,6.2,20,Rainy
2015-07-25,Mumbai,2015,7,Jul,Monsoon,31.1,25.9,28.5,0.0,93,27.8,5.7,66,Foggy
2015-07-26,Mumbai,2015,7,Jul,Monsoon,30.2,25.4,27.8,0.0,95,22.7,4.8,33,Foggy
2015-07-27,Mumbai,2015,7,Jul,Monsoon,29.9,24.7,27.3,41.5,83,22.1,9.5,20,Rainy
2015-07-28,Mumbai,2015,7,Jul,Monsoon,31.6,28.0,29.8,0.0,92,24.7,7.7,57,Foggy
2015-07-29,Mumbai,2015,7,Jul,Monsoon,32.4,24.7,28.5,0.0,94,20.6,5.8,89,Foggy
2015-07-30,Mumbai,2015,7,Jul,Monsoon,30.7,24.1,27.4,2.9,87,28.5,15.3,65,Light Rain
2015-07-31,Mumbai,2015,7,Jul,Monsoon,30.7,25.2,27.9,29.7,92,24.5,11.0,76,Rainy
2015-08-01,Mumbai,2015,8,Aug,Monsoon,31.0,23.4,27.2,0.0,87,15.6,12.0,54,Foggy
2015-08-02,Mumbai,2015,8,Aug,Monsoon,31.1,25.6,28.4,50.6,83,12.8,1.0,68,Heavy Rain
2015-08-03,Mumbai,2015,8,Aug,Monsoon,31.4,24.0,27.7,0.0,95,7.7,5.1,72,Foggy
2015-08-04,Mumbai,2015,8,Aug,Monsoon,30.0,24.9,27.4,0.0,90,14.7,6.6,38,Foggy
2015-08-05,Mumbai,2015,8,Aug,Monsoon,31.5,24.2,27.9,1.0,93,18.0,8.6,95,Light Rain
2015-08-06,Mumbai,2015,8,Aug,Monsoon,32.4,23.2,27.8,11.2,87,16.3,14.4,89,Rainy
2015-08-07,Mumbai,2015,8,Aug,Monsoon,30.2,23.6,26.9,0.0,99,15.5,9.7,82,Foggy
2015-08-08,Mumbai,2015,8,Aug,Monsoon,31.0,24.8,27.9,9.8,90,21.1,3.8,65,Light Rain
2015-08-09,Mumbai,2015,8,Aug,Monsoon,31.0,25.7,28.4,147.5,98,16.7,7.5,32,Heavy Rain
2015-08-10,Mumbai,2015,8,Aug,Monsoon,30.3,23.9,27.1,0.0,92,31.7,4.0,20,Foggy
2015-08-11,Mumbai,2015,8,Aug,Monsoon,33.2,24.7,29.0,33.4,98,9.0,3.5,47,Rainy
2015-08-12,Mumbai,2015,8,Aug,Monsoon,30.9,26.1,28.5,0.0,99,27.7,8.2,83,Foggy
2015-08-13,Mumbai,2015,8,Aug,Monsoon,30.0,25.2,27.6,11.0,95,12.6,12.5,64,Rainy
2015-08-14,Mumbai,2015,8,Aug,Monsoon,30.5,25.2,27.9,0.0,86,10.2,21.0,40,Foggy
2015-08-15,Mumbai,2015,8,Aug,Monsoon,29.4,25.6,27.5,2.9,94,12.3,5.5,86,Light Rain
2015-08-16,Mumbai,2015,8,Aug,Monsoon,31.9,26.6,29.2,0.0,86,14.0,16.4,32,Foggy
2015-08-17,Mumbai,2015,8,Aug,Monsoon,32.0,26.5,29.2,11.3,89,25.4,7.7,68,Rainy
2015-08-18,Mumbai,2015,8,Aug,Monsoon,33.3,25.6,29.4,0.0,95,26.6,6.6,34,Foggy
2015-08-19,Mumbai,2015,8,Aug,Monsoon,29.4,22.6,26.0,0.0,99,9.2,7.0,51,Foggy
2015-08-20,Mumbai,2015,8,Aug,Monsoon,31.5,26.0,28.8,5.1,94,20.1,9.6,35,Light Rain
2015-08-21,Mumbai,2015,8,Aug,Monsoon,32.8,24.8,28.8,19.6,96,27.4,8.0,21,Rainy
2015-08-22,Mumbai,2015,8,Aug,Monsoon,31.6,24.2,27.9,0.0,90,22.7,10.6,60,Foggy
