date,ticker,sector,year,month,quarter,open,high,low,close,volume,ma_20,rsi,daily_return_pct,beta,div_yield
2020-02-13,RELIANCE,Energy,2020,2,Q1,1535.28,1558.38,1501.94,1532.34,1234919,1414.0,60.5,0.3987,1.1,0.5
2020-02-14,RELIANCE,Energy,2020,2,Q1,1514.08,1535.94,1502.1,1510.36,1323324,1424.06,49.1,-1.4348,1.1,0.5
2020-02-17,RELIANCE,Energy,2020,2,Q1,1483.24,1497.23,1456.41,1485.2,3673625,1431.88,60.6,-1.6654,1.1,0.5
2020-02-18,RELIANCE,Energy,2020,2,Q1,1513.8,1542.48,1491.5,1511.82,2698817,1436.4,62.0,1.7923,1.1,0.5
2020-02-19,RELIANCE,Energy,2020,2,Q1,1473.79,1482.95,1434.58,1470.52,3179950,1444.18,42.2,-2.7321,1.1,0.5
2020-02-20,RELIANCE,Energy,2020,2,Q1,1474.52,1503.14,1459.78,1467.68,5910687,1450.92,40.8,-0.1932,1.1,0.5
2020-02-21,RELIANCE,Energy,2020,2,Q1,1496.09,1507.67,1480.56,1498.83,2486251,1456.82,78.1,2.1228,1.1,0.5
2020-02-24,RELIANCE,Energy,2020,2,Q1,1512.2,1542.83,1514.93,1518.32,13394436,1462.4,42.1,1.3001,1.1,0.5
2020-02-25,RELIANCE,Energy,2020,2,Q1,1554.64,1578.87,1537.19,1550.9,3406134,1467.18,55.1,2.1463,1.1,0.5
2020-02-26,RELIANCE,Energy,2020,2,Q1,1584.41,1614.17,1573.2,1579.51,2016505,1474.1,59.7,1.8447,1.1,0.5
2020-02-27,RELIANCE,Energy,2020,2,Q1,1627.73,1654.79,1614.41,1625.3,3288181,1483.73,80.1,2.8985,1.1,0.5
2020-02-28,RELIANCE,Energy,2020,2,Q1,1582.61,1613.37,1550.65,1589.06,984004,1497.09,37.5,-2.2295,1.1,0.5
2020-03-02,RELIANCE,Energy,2020,3,Q1,1463.27,1465.89,1426.65,1461.94,2241048,1507.96,10.0,-7.9997,1.1,0.5
2020-03-03,RELIANCE,Energy,2020,3,Q1,1522.71,1551.98,1491.87,1527.05,3623100,1511.4,54.3,4.4534,1.1,0.5
2020-03-04,RELIANCE,Energy,2020,3,Q1,1675.39,1704.38,1668.82,1673.1,646860,1516.12,90.0,9.5641,1.1,0.5
2020-03-05,RELIANCE,Energy,2020,3,Q1,1621.48,1632.55,1623.69,1628.34,860005,1525.68,50.1,-2.675,1.1,0.5
2020-03-06,RELIANCE,Energy,2020,3,Q1,1592.84,1607.01,1567.31,1598.06,13421432,1532.18,47.1,-1.8594,1.1,0.5
2020-03-09,RELIANCE,Energy,2020,3,Q1,1595.32,1612.11,1562.78,1593.54,12250542,1537.65,42.8,-0.283,1.1,0.5
2020-03-10,RELIANCE,Energy,2020,3,Q1,1593.93,1621.66,1577.78,1600.37,2670951,1543.34,48.1,0.4283,1.1,0.5
2020-03-11,RELIANCE,Energy,2020,3,Q1,1533.2,1556.55,1523.87,1540.2,9422500,1547.42,31.3,-3.7594,1.1,0.5
2020-03-12,RELIANCE,Energy,2020,3,Q1,1546.85,1557.7,1536.21,1552.08,3456757,1548.12,71.5,0.7712,1.1,0.5
2020-03-13,RELIANCE,Energy,2020,3,Q1,1436.91,1452.85,1416.99,1434.85,9105895,1549.11,29.9,-7.5529,1.1,0.5
2020-03-16,RELIANCE,Energy,2020,3,Q1,1424.47,1427.94,1385.51,1418.72,4093019,1545.33,27.2,-1.1246,1.1,0.5
2020-03-17,RELIANCE,Energy,2020,3,Q1,1371.37,1406.5,1352.42,1377.93,2254358,1542.01,20.4,-2.8746,1.1,0.5
2020-03-18,RELIANCE,Energy,2020,3,Q1,1435.15,1456.79,1420.43,1429.75,1684204,1535.32,78.8,3.7606,1.1,0.5
2020-03-19,RELIANCE,Energy,2020,3,Q1,1319.76,1329.07,1311.39,1316.12,1231254,1533.28,24.6,-7.9477,1.1,0.5
2020-03-20,RELIANCE,Energy,2020,3,Q1,1347.41,1349.86,1338.29,1343.99,9289386,1525.7,53.4,2.1173,1.1,0.5
2020-03-23,RELIANCE,Energy,2020,3,Q1,1299.33,1335.52,1275.81,1305.72,6473191,1517.96,28.5,-2.8476,1.1,0.5
2020-03-24,RELIANCE,Energy,2020,3,Q1,1387.98,1400.83,1364.47,1388.69,8256313,1507.33,90.0,6.3548,1.1,0.5
2020-03-25,RELIANCE,Energy,2020,3,Q1,1374.64,1390.66,1367.66,1373.96,3246040,1499.22,38.7,-1.0609,1.1,0.5
2020-03-26,RELIANCE,Energy,2020,3,Q1,1401.18,1412.33,1394.3,1406.79,2242651,1488.94,45.3,2.3896,1.1,0.5
2020-03-27,RELIANCE,Energy,2020,3,Q1,1422.27,1450.88,1405.08,1415.94,2231299,1478.01,48.3,0.6504,1.1,0.5
2020-03-30,RELIANCE,Energy,2020,3,Q1,1329.73,1330.39,1306.25,1324.35,3220958,1469.36,10.0,-6.4685,1.1,0.5
2020-03-31,RELIANCE,Energy,2020,3,Q1,1312.98,1343.54,1290.4,1311.89,6056789,1462.48,36.7,-0.9409,1.1,0.5
2020-04-01,RELIANCE,Energy,2020,4,Q2,1281.82,1278.82,1272.47,1275.91,3910883,1451.72,19.2,-2.7425,1.1,0.5
2020-04-02,RELIANCE,Energy,2020,4,Q2,1257.5,1277.93,1245.9,1257.21,3414291,1431.86,40.9,-1.4656,1.1,0.5
2020-04-03,RELIANCE,Energy,2020,4,Q2,1329.78,1328.5,1299.92,1324.47,18846586,1413.3,67.8,5.3498,1.1,0.5
2020-04-06,RELIANCE,Energy,2020,4,Q2,1248.61,1269.74,1221.42,1250.45,1105660,1399.62,41.0,-5.5888,1.1,0.5
2020-04-07,RELIANCE,Energy,2020,4,Q2,1148.7,1165.43,1120.76,1145.11,1136897,1382.47,25.2,-8.4242,1.1,0.5
2020-04-08,RELIANCE,Energy,2020,4,Q2,1192.51,1218.19,1163.21,1188.82,2608336,1359.71,72.8,3.8169,1.1,0.5
2020-04-09,RELIANCE,Energy,2020,4,Q2,1175.88,1196.81,1155.21,1171.87,912969,1342.14,25.1,-1.4253,1.1,0.5
2020-04-10,RELIANCE,Energy,2020,4,Q2,1130.25,1152.65,1110.88,1124.63,4163549,1323.13,40.6,-4.0317,1.1,0.5
2020-04-13,RELIANCE,Energy,2020,4,Q2,1045.28,1074.29,1037.57,1049.17,5776404,1307.62,21.2,-6.7093,1.1,0.5
2020-04-14,RELIANCE,Energy,2020,4,Q2,966.65,978.47,958.01,965.0,2563562,1289.14,10.7,-8.0229,1.1,0.5
2020-04-15,RELIANCE,Energy,2020,4,Q2,969.75,990.63,953.92,969.15,5478274,1268.49,60.3,0.4309,1.1,0.5
2020-04-16,RELIANCE,Energy,2020,4,Q2,978.76,993.44,972.29,983.54,2485919,1245.46,53.1,1.4841,1.1,0.5
2020-04-17,RELIANCE,Energy,2020,4,Q2,985.8,1000.95,980.41,987.3,12029739,1228.83,66.4,0.3824,1.1,0.5
2020-04-20,RELIANCE,Energy,2020,4,Q2,912.95,926.65,912.91,915.16,6181826,1211.0,13.2,-7.3069,1.1,0.5
2020-04-21,RELIANCE,Energy,2020,4,Q2,900.26,905.98,882.72,902.6,4383151,1191.47,30.4,-1.3716,1.1,0.5
2020-04-22,RELIANCE,Energy,2020,4,Q2,863.95,879.18,846.0,864.18,2590719,1167.17,16.4,-4.2572,1.1,0.5
2020-04-23,RELIANCE,Energy,2020,4,Q2,805.47,812.66,797.15,808.8,2099228,1141.68,18.1,-6.4086,1.1,0.5
2020-04-24,RELIANCE,Energy,2020,4,Q2,755.72,765.85,736.04,753.46,3381085,1111.78,30.7,-6.8419,1.1,0.5
2020-04-27,RELIANCE,Energy,2020,4,Q2,750.07,752.89,733.11,748.22,2623339,1078.65,51.3,-0.696,1.1,0.5
2020-04-28,RELIANCE,Energy,2020,4,Q2,661.97,662.22,647.67,660.34,565969,1049.85,10.0,-11.7447,1.1,0.5
2020-04-29,RELIANCE,Energy,2020,4,Q2,657.72,660.44,647.83,657.5,904233,1017.27,38.6,-0.4294,1.1,0.5
2020-04-30,RELIANCE,Energy,2020,4,Q2,642.52,648.08,632.42,643.66,3146393,986.35,24.3,-2.1054,1.1,0.5
2020-05-01,RELIANCE,Energy,2020,5,Q2,647.94,659.81,638.03,646.78,6772977,955.67,35.9,0.4846,1.1,0.5
2020-05-04,RELIANCE,Energy,2020,5,Q2,679.19,685.61,662.58,677.53,7360409,921.79,65.1,4.7537,1.1,0.5
2020-05-05,RELIANCE,Energy,2020,5,Q2,697.1,703.71,695.0,696.61,1146564,893.14,68.3,2.8161,1.1,0.5
2020-05-06,RELIANCE,Energy,2020,5,Q2,689.59,697.29,677.25,691.99,2701196,870.72,34.1,-0.6631,1.1,0.5
2020-05-07,RELIANCE,Energy,2020,5,Q2,683.7,683.62,672.19,681.0,2113518,845.87,38.5,-1.588,1.1,0.5
2020-05-08,RELIANCE,Energy,2020,5,Q2,689.13,700.9,673.53,686.62,3054336,821.33,41.0,0.8253,1.1,0.5
2020-05-11,RELIANCE,Energy,2020,5,Q2,694.56,704.68,681.28,694.16,3859324,799.43,66.3,1.0986,1.1,0.5
2020-05-12,RELIANCE,Energy,2020,5,Q2,686.26,696.16,673.43,686.77,1466461,781.68,29.3,-1.0653,1.1,0.5
2020-05-13,RELIANCE,Energy,2020,5,Q2,666.94,670.1,657.12,666.4,6188411,767.77,36.5,-2.9655,1.1,0.5
2020-05-14,RELIANCE,Energy,2020,5,Q2,662.36,667.09,663.31,664.79,2359668,752.63,41.7,-0.2416,1.1,0.5
2020-05-15,RELIANCE,Energy,2020,5,Q2,658.41,670.02,649.79,657.22,6005587,736.69,43.2,-1.1393,1.1,0.5
2020-05-18,RELIANCE,Energy,2020,5,Q2,637.25,647.92,632.75,634.53,1431018,720.19,17.7,-3.4525,1.1,0.5
2020-05-19,RELIANCE,Energy,2020,5,Q2,634.96,639.24,631.93,636.99,3511364,706.16,54.9,0.3886,1.1,0.5
2020-05-20,RELIANCE,Energy,2020,5,Q2,637.69,640.04,622.31,635.82,3580394,692.88,35.6,-0.1848,1.1,0.5
2020-05-21,RELIANCE,Energy,2020,5,Q2,643.14,649.58,639.89,642.99,7481446,681.46,51.3,1.1287,1.1,0.5
2020-05-22,RELIANCE,Energy,2020,5,Q2,639.36,648.24,628.58,640.15,9256549,673.17,57.7,-0.4427,1.1,0.5
2020-05-25,RELIANCE,Energy,2020,5,Q2,622.93,627.17,612.7,620.45,3311271,667.5,50.9,-3.0763,1.1,0.5
2020-05-26,RELIANCE,Energy,2020,5,Q2,612.59,619.93,599.36,609.91,4112546,661.12,27.1,-1.6994,1.1,0.5
2020-05-27,RELIANCE,Energy,2020,5,Q2,616.59,630.29,612.15,616.38,8867129,658.59,41.4,1.0611,1.1,0.5
2020-05-28,RELIANCE,Energy,2020,5,Q2,604.86,605.06,596.21,603.38,1700442,656.54,50.0,-2.1084,1.1,0.5
2020-05-29,RELIANCE,Energy,2020,5,Q2,601.48,602.27,596.23,599.55,6345845,654.52,31.9,-0.6355,1.1,0.5
2020-06-01,RELIANCE,Energy,2020,6,Q2,612.99,619.62,609.98,615.14,2290521,652.16,71.8,2.6008,1.1,0.5
2020-06-02,RELIANCE,Energy,2020,6,Q2,632.62,637.27,621.57,632.35,7325576,649.04,51.2,2.7966,1.1,0.5
2020-06-03,RELIANCE,Energy,2020,6,Q2,634.19,642.83,632.78,634.81,6378556,645.83,38.1,0.3903,1.1,0.5
2020-06-04,RELIANCE,Energy,2020,6,Q2,638.13,638.96,634.27,637.42,27094932,642.97,69.3,0.41,1.1,0.5
2020-06-05,RELIANCE,Energy,2020,6,Q2,663.03,672.3,646.05,660.24,5242031,640.79,71.0,3.5812,1.1,0.5
2020-06-08,RELIANCE,Energy,2020,6,Q2,644.58,658.16,640.67,643.06,14790009,639.47,35.0,-2.6035,1.1,0.5
2020-06-09,RELIANCE,Energy,2020,6,Q2,675.03,677.92,664.03,675.72,4971151,636.92,87.5,5.0792,1.1,0.5
2020-06-10,RELIANCE,Energy,2020,6,Q2,690.36,694.33,675.77,687.47,510634,636.36,68.2,1.74,1.1,0.5
2020-06-11,RELIANCE,Energy,2020,6,Q2,667.06,670.88,653.4,667.38,2653557,637.42,35.3,-2.9229,1.1,0.5
2020-06-12,RELIANCE,Energy,2020,6,Q2,677.43,688.78,671.27,678.36,2882673,637.55,38.8,1.6453,1.1,0.5
2020-06-15,RELIANCE,Energy,2020,6,Q2,668.12,668.66,654.77,665.05,4942270,638.6,23.6,-1.9615,1.1,0.5
2020-06-16,RELIANCE,Energy,2020,6,Q2,666.05,667.77,660.26,665.41,3710231,640.13,38.7,0.0539,1.1,0.5
2020-06-17,RELIANCE,Energy,2020,6,Q2,662.2,666.14,654.86,664.25,3700687,641.55,51.7,-0.1748,1.1,0.5
2020-06-18,RELIANCE,Energy,2020,6,Q2,682.46,690.52,674.58,682.86,389460,642.97,50.2,2.8019,1.1,0.5
2020-06-19,RELIANCE,Energy,2020,6,Q2,690.21,694.41,674.24,687.14,2666141,644.97,58.9,0.6264,1.1,0.5
2020-06-22,RELIANCE,Energy,2020,6,Q2,680.23,695.18,675.86,682.58,3091998,647.32,27.8,-0.664,1.1,0.5
2020-06-23,RELIANCE,Energy,2020,6,Q2,674.57,675.07,658.19,673.42,1825469,650.42,55.3,-1.3423,1.1,0.5
2020-06-24,RELIANCE,Energy,2020,6,Q2,678.66,683.36,667.24,680.44,1407594,653.6,64.1,1.0435,1.1,0.5
2020-06-25,RELIANCE,Energy,2020,6,Q2,683.26,695.84,670.09,683.96,4001598,656.8,44.3,0.5172,1.1,0.5
2020-06-26,RELIANCE,Energy,2020,6,Q2,664.31,675.47,650.37,661.71,13413195,660.83,24.1,-3.2536,1.1,0.5
2020-06-29,RELIANCE,Energy,2020,6,Q2,677.72,690.4,668.71,679.29,804128,663.94,65.4,2.6578,1.1,0.5
2020-06-30,RELIANCE,Energy,2020,6,Q2,659.01,668.9,641.78,656.07,2113936,667.15,47.6,-3.4193,1.1,0.5
2020-07-01,RELIANCE,Energy,2020,7,Q3,671.04,676.92,652.66,669.04,3189049,668.33,50.6,1.9768,1.1,0.5
2020-07-02,RELIANCE,Energy,2020,7,Q3,696.25,701.57,693.89,697.94,5597361,670.04,90.0,4.3199,1.1,0.5
2020-07-03,RELIANCE,Energy,2020,7,Q3,678.95,682.15,677.8,680.5,3543600,673.07,22.2,-2.4986,1.1,0.5
2020-07-06,RELIANCE,Energy,2020,7,Q3,659.26,670.09,655.0,658.9,5083400,674.08,22.4,-3.174,1.1,0.5
2020-07-07,RELIANCE,Energy,2020,7,Q3,681.51,684.49,677.69,680.39,11483200,674.87,63.1,3.2612,1.1,0.5
2020-07-08,RELIANCE,Energy,2020,7,Q3,682.81,689.91,680.41,685.91,491011,675.11,37.4,0.8121,1.1,0.5
2020-07-09,RELIANCE,Energy,2020,7,Q3,666.06,672.56,655.58,666.79,5203372,675.03,44.8,-2.7875,1.1,0.5
2020-07-10,RELIANCE,Energy,2020,7,Q3,674.56,686.37,672.39,674.72,803828,675.0,65.2,1.189,1.1,0.5
2020-07-13,RELIANCE,Energy,2020,7,Q3,680.13,692.36,675.49,683.19,969616,674.82,49.6,1.2555,1.1,0.5
2020-07-14,RELIANCE,Energy,2020,7,Q3,675.9,691.51,669.55,678.79,3968966,675.73,54.3,-0.6447,1.1,0.5
2020-07-15,RELIANCE,Energy,2020,7,Q3,660.31,671.63,652.27,658.21,2373069,676.39,25.7,-3.0322,1.1,0.5
2020-07-16,RELIANCE,Energy,2020,7,Q3,632.98,650.26,621.69,635.58,8164517,676.09,50.8,-3.4379,1.1,0.5
2020-07-17,RELIANCE,Energy,2020,7,Q3,619.57,632.98,614.26,619.31,2727794,673.73,49.5,-2.5598,1.1,0.5
2020-07-20,RELIANCE,Energy,2020,7,Q3,637.63,640.33,626.67,635.41,7646571,670.34,51.8,2.5994,1.1,0.5
2020-07-21,RELIANCE,Energy,2020,7,Q3,643.03,657.69,634.31,646.04,3638485,667.98,75.3,1.6732,1.1,0.5
2020-07-22,RELIANCE,Energy,2020,7,Q3,663.1,666.99,656.9,660.82,3065334,666.61,42.9,2.2881,1.1,0.5
2020-07-23,RELIANCE,Energy,2020,7,Q3,640.34,645.21,637.01,642.78,4880834,665.63,29.9,-2.7297,1.1,0.5
2020-07-24,RELIANCE,Energy,2020,7,Q3,638.62,649.02,635.44,639.8,3641796,663.57,40.4,-0.4643,1.1,0.5
2020-07-27,RELIANCE,Energy,2020,7,Q3,651.88,655.92,635.21,651.13,4099705,662.47,73.7,1.7707,1.1,0.5
2020-07-28,RELIANCE,Energy,2020,7,Q3,662.64,677.15,649.48,660.67,3394319,661.07,68.0,1.4651,1.1,0.5
2020-07-29,RELIANCE,Energy,2020,7,Q3,655.18,668.8,652.8,654.34,447893,661.3,55.9,-0.957,1.1,0.5
2020-07-30,RELIANCE,Energy,2020,7,Q3,634.4,637.64,618.68,632.9,800603,660.56,27.8,-3.2775,1.1,0.5
2020-07-31,RELIANCE,Energy,2020,7,Q3,618.97,622.46,605.36,620.62,1410239,657.31,59.8,-1.9396,1.1,0.5
2020-08-03,RELIANCE,Energy,2020,8,Q3,598.26,601.38,595.31,597.19,1244299,654.32,42.6,-3.7761,1.1,0.5
2020-08-04,RELIANCE,Energy,2020,8,Q3,597.8,609.67,587.06,595.54,1688805,651.23,53.2,-0.2756,1.1,0.5
2020-08-05,RELIANCE,Energy,2020,8,Q3,609.69,614.07,596.85,609.62,11957710,646.99,50.6,2.3634,1.1,0.5
2020-08-06,RELIANCE,Energy,2020,8,Q3,615.72,618.69,614.97,616.64,1986139,643.17,71.1,1.1522,1.1,0.5
2020-08-07,RELIANCE,Energy,2020,8,Q3,613.99,623.43,599.26,612.41,1278430,640.67,59.2,-0.6868,1.1,0.5
2020-08-10,RELIANCE,Energy,2020,8,Q3,604.4,613.62,597.13,604.18,1861892,637.55,26.9,-1.3438,1.1,0.5
2020-08-11,RELIANCE,Energy,2020,8,Q3,597.93,613.63,598.34,600.16,5214951,633.6,61.2,-0.6653,1.1,0.5
2020-08-12,RELIANCE,Energy,2020,8,Q3,607.24,609.36,597.46,606.93,7778606,629.67,50.6,1.1287,1.1,0.5
2020-08-13,RELIANCE,Energy,2020,8,Q3,617.85,620.26,605.56,617.87,1527973,627.1,66.3,1.8031,1.1,0.5
2020-08-14,RELIANCE,Energy,2020,8,Q3,576.15,587.68,565.83,575.62,1629561,626.22,22.9,-6.8394,1.1,0.5
2020-08-17,RELIANCE,Energy,2020,8,Q3,559.34,568.57,551.74,557.23,4732853,624.03,48.1,-3.1935,1.1,0.5
2020-08-18,RELIANCE,Energy,2020,8,Q3,563.9,572.14,556.74,562.0,5792100,620.12,59.0,0.8557,1.1,0.5
2020-08-19,RELIANCE,Energy,2020,8,Q3,557.19,567.31,541.57,555.07,4801551,615.92,56.9,-1.2328,1.1,0.5
2020-08-20,RELIANCE,Energy,2020,8,Q3,552.64,554.44,547.88,551.29,1678066,610.64,59.9,-0.6807,1.1,0.5
2020-08-21,RELIANCE,Energy,2020,8,Q3,547.95,558.01,547.78,549.12,3277959,606.06,53.3,-0.3944,1.1,0.5
2020-08-24,RELIANCE,Energy,2020,8,Q3,557.82,568.72,545.03,557.6,1109923,601.53,68.2,1.5441,1.1,0.5
2020-08-25,RELIANCE,Energy,2020,8,Q3,562.94,573.16,561.82,563.83,3396864,596.85,39.7,1.1178,1.1,0.5
2020-08-26,RELIANCE,Energy,2020,8,Q3,563.64,571.14,561.16,566.09,4532616,592.01,34.7,0.4001,1.1,0.5
2020-08-27,RELIANCE,Energy,2020,8,Q3,546.76,547.77,543.39,546.1,7074532,587.6,51.3,-3.5312,1.1,0.5
2020-08-28,RELIANCE,Energy,2020,8,Q3,547.74,551.74,540.69,550.36,2146514,583.26,53.4,0.7794,1.1,0.5
2020-08-31,RELIANCE,Energy,2020,8,Q3,558.32,563.26,557.47,558.62,7756604,579.74,54.6,1.5022,1.1,0.5
2020-09-01,RELIANCE,Energy,2020,9,Q3,551.62,559.87,539.04,550.0,3973033,577.81,48.5,-1.5442,1.1,0.5
2020-09-02,RELIANCE,Energy,2020,9,Q3,548.93,552.88,540.87,546.51,1305939,575.54,42.7,-0.6339,1.1,0.5
2020-09-03,RELIANCE,Energy,2020,9,Q3,553.7,559.03,541.72,555.2,1201124,572.38,72.5,1.5904,1.1,0.5
2020-09-04,RELIANCE,Energy,2020,9,Q3,574.59,589.07,572.29,576.4,3194241,569.31,79.9,3.8191,1.1,0.5
2020-09-07,RELIANCE,Energy,2020,9,Q3,591.82,594.04,576.74,591.08,3825565,567.51,74.6,2.5453,1.1,0.5
2020-09-08,RELIANCE,Energy,2020,9,Q3,586.95,599.62,580.26,589.16,3141424,566.85,36.4,-0.3248,1.1,0.5
2020-09-09,RELIANCE,Energy,2020,9,Q3,586.77,591.09,582.39,586.29,2287690,566.3,28.0,-0.487,1.1,0.5
2020-09-10,RELIANCE,Energy,2020,9,Q3,571.37,580.52,561.03,571.49,1885063,565.27,45.2,-2.5244,1.1,0.5
2020-09-11,RELIANCE,Energy,2020,9,Q3,581.14,591.45,570.64,583.83,3259609,562.95,65.5,2.1589,1.1,0.5
2020-09-14,RELIANCE,Energy,2020,9,Q3,580.7,589.11,575.92,583.56,13596188,563.36,33.3,-0.0457,1.1,0.5
2020-09-15,RELIANCE,Energy,2020,9,Q3,581.55,590.51,571.2,584.02,13772015,564.68,62.4,0.0782,1.1,0.5
2020-09-16,RELIANCE,Energy,2020,9,Q3,585.41,597.51,582.59,587.73,2289887,565.78,34.4,0.6368,1.1,0.5
2020-09-17,RELIANCE,Energy,2020,9,Q3,613.98,622.98,607.7,611.71,7569534,567.41,53.6,4.0792,1.1,0.5
2020-09-18,RELIANCE,Energy,2020,9,Q3,614.12,619.77,605.93,612.18,6990875,570.44,51.4,0.0765,1.1,0.5
2020-09-21,RELIANCE,Energy,2020,9,Q3,612.55,619.98,602.13,615.26,2529980,573.59,71.6,0.5033,1.1,0.5
2020-09-22,RELIANCE,Energy,2020,9,Q3,612.39,621.09,602.35,610.62,2140524,576.47,48.4,-0.7537,1.1,0.5
2020-09-23,RELIANCE,Energy,2020,9,Q3,618.22,630.19,608.99,615.17,5340417,578.81,36.6,0.7443,1.1,0.5
2020-09-24,RELIANCE,Energy,2020,9,Q3,624.45,634.92,613.55,623.03,2991882,581.26,50.2,1.2786,1.1,0.5
2020-09-25,RELIANCE,Energy,2020,9,Q3,638.63,645.6,634.06,637.19,2847346,585.11,52.4,2.2733,1.1,0.5
2020-09-28,RELIANCE,Energy,2020,9,Q3,657.99,670.67,652.99,659.9,3773145,589.45,77.1,3.563,1.1,0.5
2020-09-29,RELIANCE,Energy,2020,9,Q3,661.92,663.26,646.34,659.22,3202866,594.52,39.4,-0.1025,1.1,0.5
2020-09-30,RELIANCE,Energy,2020,9,Q3,673.17,679.98,665.43,673.07,7647743,599.98,47.0,2.1013,1.1,0.5
2020-10-01,RELIANCE,Energy,2020,10,Q4,678.44,691.72,668.17,680.09,2248646,606.31,74.0,1.042,1.1,0.5
