employee_id,age,gender,marital_status,education,education_field,department,job_role,business_travel,overtime,years_at_company,years_in_role,years_with_manager,num_companies_worked,monthly_income,percent_salary_hike,stock_option_level,performance_rating,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,job_involvement,training_times_last_year,distance_from_home,attrition
EMP-0042,38,Female,Married,Master,Marketing,Engineering,Software Engineer,Travel_Rarely,Yes,12,1,9,1,8999,18,0,3,3,2,4,3,4,5,1,No
EMP-0043,39,Male,Married,Master,Marketing,Sales,Sales Executive,Travel_Rarely,No,21,2,3,2,6662,11,2,2,1,2,2,3,4,4,12,No
EMP-0044,35,Male,Married,Master,Other,Sales,Sales Representative,Non-Travel,Yes,10,4,0,1,4948,21,0,3,2,4,3,1,3,4,5,Yes
EMP-0045,34,Female,Divorced,PhD,Technical Degree,Engineering,Senior Engineer,Travel_Rarely,Yes,0,0,0,1,5982,13,0,4,2,3,3,3,3,3,10,Yes
EMP-0046,44,Female,Married,Bachelor,Technical Degree,Marketing,Marketing Analyst,Travel_Rarely,Yes,0,0,0,1,2934,18,0,1,3,4,3,3,4,3,29,Yes
EMP-0047,23,Female,Married,PhD,Medical,Engineering,Tech Lead,Non-Travel,No,5,5,5,2,10743,25,1,2,3,3,4,3,3,4,7,No
EMP-0048,24,Female,Single,Master,Technical Degree,HR,Recruiter,Travel_Frequently,Yes,3,3,0,1,3617,16,0,3,4,4,1,3,3,3,1,Yes
EMP-0049,48,Male,Divorced,Bachelor,Other,Marketing,Content Specialist,Travel_Rarely,No,6,6,1,2,4335,22,1,3,2,3,3,2,2,6,1,No
EMP-0050,43,Female,Single,High School,Life Sciences,Sales,Sales Manager,Travel_Rarely,Yes,24,0,8,2,6129,14,3,3,3,4,2,1,4,3,29,Yes
EMP-0051,57,Male,Divorced,Master,Technical Degree,Engineering,Tech Lead,Travel_Rarely,Yes,8,1,3,2,9229,13,0,3,3,3,3,3,3,4,27,No
EMP-0052,40,Male,Single,PhD,Marketing,Engineering,Tech Lead,Travel_Frequently,No,15,1,3,1,13473,24,2,1,4,4,4,4,3,4,3,No
EMP-0053,30,Female,Married,Master,Other,Operations,Operations Analyst,Travel_Rarely,No,12,12,4,4,5805,12,3,3,1,3,1,3,1,2,15,No
EMP-0054,38,Male,Married,Bachelor,Marketing,Engineering,Senior Engineer,Travel_Frequently,No,20,3,3,3,7332,25,0,3,4,3,4,3,3,1,4,No
EMP-0055,39,Female,Married,Bachelor,Human Resources,Operations,Logistics Coordinator,Travel_Rarely,Yes,3,3,3,3,2959,12,0,3,3,3,3,3,4,5,18,Yes
EMP-0056,27,Male,Single,Master,Other,Operations,Logistics Coordinator,Travel_Frequently,No,9,9,9,5,4564,24,0,3,3,2,4,3,3,1,27,Yes
EMP-0057,24,Female,Married,Bachelor,Human Resources,Marketing,Content Specialist,Non-Travel,No,6,2,1,1,3984,25,2,2,3,3,4,1,3,3,13,No
EMP-0058,41,Female,Married,Master,Life Sciences,Marketing,Content Specialist,Non-Travel,Yes,5,5,3,3,4347,14,0,4,3,3,3,3,1,4,12,No
EMP-0059,50,Male,Married,Bachelor,Medical,Sales,Sales Representative,Non-Travel,No,1,0,0,2,2875,11,0,1,4,2,2,2,3,3,21,Yes
EMP-0060,44,Male,Married,Bachelor,Medical,Engineering,Tech Lead,Travel_Rarely,No,2,2,2,4,6857,22,2,3,4,3,2,3,4,1,6,No
EMP-0061,34,Male,Married,Bachelor,Technical Degree,Engineering,Software Engineer,Non-Travel,No,16,2,1,2,6832,21,0,3,4,3,2,2,3,3,1,No
EMP-0062,22,Male,Married,Master,Other,Engineering,Data Analyst,Travel_Rarely,No,1,0,1,1,6314,17,1,3,3,2,3,3,3,1,5,No
EMP-0063,28,Male,Married,Master,Life Sciences,Sales,Sales Manager,Travel_Rarely,No,1,0,0,1,4342,25,0,3,1,4,3,3,3,4,1,No
EMP-0064,41,Female,Married,Bachelor,Human Resources,Sales,Sales Manager,Non-Travel,No,4,0,1,2,4475,19,2,4,3,3,2,2,3,3,8,No
EMP-0065,44,Male,Single,PhD,Other,Marketing,Content Specialist,Non-Travel,No,9,0,0,3,6263,20,0,3,3,1,4,3,3,1,12,No
EMP-0066,31,Male,Married,Bachelor,Marketing,Sales,Sales Manager,Travel_Rarely,No,0,0,0,3,3601,18,0,2,1,2,3,3,3,3,6,Yes
EMP-0067,29,Male,Married,Bachelor,Other,Marketing,Marketing Analyst,Travel_Rarely,No,3,0,1,1,3311,14,0,2,3,3,1,3,3,1,19,No
EMP-0068,28,Male,Married,Bachelor,Medical,Marketing,Marketing Analyst,Travel_Frequently,No,6,3,6,1,3997,19,1,2,4,1,1,4,4,3,7,No
EMP-0069,33,Female,Married,Bachelor,Human Resources,Sales,Sales Executive,Travel_Rarely,No,0,0,0,4,2652,14,2,3,1,3,3,1,4,4,1,Yes
EMP-0070,51,Female,Divorced,Bachelor,Other,Finance,Finance Manager,Travel_Rarely,Yes,1,0,0,1,4801,20,1,2,2,2,2,3,2,5,20,Yes
EMP-0071,37,Female,Married,Master,Medical,Finance,Accountant,Travel_Rarely,No,3,3,0,4,4969,15,1,4,3,3,1,3,1,2,9,No
EMP-0072,29,Male,Divorced,Bachelor,Human Resources,Sales,Sales Representative,Travel_Rarely,Yes,11,2,3,2,3889,23,2,4,3,2,3,3,4,3,4,No
EMP-0073,22,Male,Divorced,Bachelor,Technical Degree,Sales,Sales Representative,Travel_Rarely,No,0,0,0,2,2818,16,0,3,4,3,4,3,2,3,1,No
EMP-0074,37,Female,Divorced,Master,Human Resources,Engineering,Tech Lead,Travel_Rarely,No,2,0,0,3,8184,15,0,3,3,4,3,3,3,5,12,No
EMP-0075,30,Female,Divorced,PhD,Other,Operations,Logistics Coordinator,Non-Travel,No,3,1,3,3,5122,25,0,3,1,3,4,3,3,2,1,No
EMP-0076,58,Female,Single,Master,Human Resources,Operations,Logistics Coordinator,Travel_Rarely,No,0,0,0,3,3381,17,0,3,3,2,4,3,4,2,1,No
EMP-0077,41,Female,Single,Master,Technical Degree,Engineering,Data Analyst,Non-Travel,No,5,1,5,3,6699,22,1,4,4,2,3,3,3,4,3,No
EMP-0078,46,Female,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,No,9,2,1,5,4142,18,2,4,3,3,2,2,2,3,8,Yes
EMP-0079,29,Female,Single,PhD,Technical Degree,Customer Support,Support Lead,Travel_Rarely,Yes,11,2,3,3,6186,13,0,4,3,1,4,4,3,4,12,No
EMP-0080,33,Female,Single,Bachelor,Human Resources,Marketing,Marketing Analyst,Non-Travel,Yes,0,0,0,3,3421,11,0,4,3,4,3,2,3,2,1,Yes
EMP-0081,48,Female,Single,Bachelor,Human Resources,Engineering,Software Engineer,Travel_Rarely,Yes,1,0,1,4,4535,25,0,3,3,3,2,3,3,1,1,No
EMP-0082,32,Male,Married,Bachelor,Other,HR,HR Executive,Travel_Rarely,No,14,2,2,2,4125,13,0,3,1,2,3,2,3,4,6,No
EMP-0083,35,Female,Married,Bachelor,Medical,Finance,Auditor,Non-Travel,No,14,8,3,3,6018,25,1,3,2,1,2,1,4,3,8,No
EMP-0084,37,Male,Divorced,Master,Life Sciences,Marketing,Marketing Analyst,Travel_Rarely,Yes,3,3,3,2,4914,18,3,3,4,4,4,3,4,3,16,No
EMP-0085,37,Male,Married,Bachelor,Medical,Operations,Logistics Coordinator,Travel_Rarely,Yes,6,1,0,2,3476,24,0,3,3,3,3,3,3,1,4,No
EMP-0086,46,Male,Married,Master,Marketing,Engineering,Software Engineer,Travel_Rarely,Yes,5,5,1,3,6685,16,3,2,4,3,3,2,3,3,1,Yes
EMP-0087,36,Female,Married,Bachelor,Life Sciences,Sales,Sales Manager,Travel_Rarely,No,3,3,1,2,4210,14,0,3,2,2,4,3,3,3,1,No
EMP-0088,25,Female,Single,PhD,Medical,Customer Support,Support Lead,Travel_Frequently,No,7,0,2,2,5901,11,1,4,3,1,3,4,3,2,1,No
EMP-0089,29,Female,Married,Master,Medical,Operations,Logistics Coordinator,Travel_Rarely,Yes,11,0,0,1,5190,19,1,3,2,4,1,3,3,4,7,Yes
EMP-0090,43,Male,Single,Master,Human Resources,Engineering,Data Analyst,Travel_Frequently,No,0,0,0,3,5237,25,0,3,3,3,4,3,3,2,1,No
EMP-0091,24,Male,Married,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,No,6,1,0,2,3143,15,1,4,4,4,3,3,3,1,2,No
EMP-0092,29,Male,Divorced,Master,Other,Sales,Sales Representative,Travel_Rarely,No,1,1,0,2,3751,19,1,2,4,1,4,3,3,2,2,Yes
EMP-0093,34,Male,Single,PhD,Technical Degree,Operations,Logistics Coordinator,Travel_Frequently,No,8,5,7,2,5320,23,0,3,3,2,3,3,3,1,20,No
EMP-0094,33,Male,Single,Bachelor,Human Resources,Engineering,Data Analyst,Non-Travel,Yes,0,0,0,1,4213,24,2,3,2,1,4,4,3,5,7,No
EMP-0095,45,Female,Married,Bachelor,Human Resources,Marketing,Marketing Analyst,Travel_Frequently,No,11,1,1,2,4722,19,2,2,3,3,2,3,1,2,4,No
EMP-0096,35,Female,Married,Bachelor,Marketing,Engineering,Software Engineer,Travel_Rarely,No,5,1,1,4,5826,15,3,3,3,2,3,1,3,4,14,No
EMP-0097,33,Male,Married,Master,Marketing,Sales,Sales Executive,Travel_Rarely,Yes,2,2,2,1,4033,13,2,3,3,1,1,3,4,3,29,Yes
EMP-0098,36,Male,Married,PhD,Other,Customer Support,Support Lead,Travel_Rarely,No,5,0,1,1,5878,17,0,3,3,3,3,1,3,1,1,No
EMP-0099,22,Male,Married,Bachelor,Other,Operations,Logistics Coordinator,Travel_Rarely,No,4,3,4,1,3119,21,0,3,3,2,3,3,4,1,20,No
EMP-0100,41,Male,Married,Bachelor,Technical Degree,Sales,Sales Executive,Travel_Rarely,No,14,2,3,3,4265,20,1,4,4,4,1,2,3,2,6,No
EMP-0101,33,Male,Married,Bachelor,Other,Sales,Sales Representative,Travel_Frequently,Yes,6,0,1,2,3331,21,1,3,4,2,3,4,4,4,7,Yes
EMP-0102,38,Male,Married,Master,Human Resources,HR,Recruiter,Travel_Frequently,No,4,3,4,2,3590,14,1,4,4,2,3,3,3,3,8,No
EMP-0103,36,Male,Single,Master,Human Resources,HR,Recruiter,Non-Travel,No,6,1,5,1,4213,25,3,3,2,2,3,3,3,1,6,No
EMP-0104,31,Male,Married,Bachelor,Marketing,Finance,Auditor,Travel_Rarely,No,8,1,1,4,4876,24,0,2,3,3,4,4,4,2,1,No
EMP-0105,36,Female,Divorced,Bachelor,Other,Customer Support,Support Lead,Travel_Frequently,No,1,1,1,5,3237,18,3,1,3,2,4,2,4,3,2,No
EMP-0106,42,Female,Married,Bachelor,Other,Engineering,Senior Engineer,Non-Travel,Yes,24,8,0,3,9552,23,1,3,4,3,4,2,4,4,1,Yes
EMP-0107,27,Female,Single,Bachelor,Medical,Finance,Finance Manager,Travel_Rarely,No,9,9,9,5,6847,21,1,3,3,3,3,2,3,2,2,Yes
EMP-0108,46,Female,Divorced,Master,Other,Marketing,Content Specialist,Non-Travel,No,0,0,0,2,3852,18,1,3,2,2,4,3,3,3,6,No
EMP-0109,31,Female,Married,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,No,6,6,3,1,4661,23,0,4,1,4,4,2,3,2,1,No
EMP-0110,46,Male,Married,Bachelor,Life Sciences,Marketing,Marketing Manager,Travel_Rarely,No,14,2,11,5,6655,19,0,2,3,4,4,3,4,4,18,No
EMP-0111,22,Female,Single,High School,Technical Degree,Sales,Sales Executive,Travel_Rarely,No,4,0,0,2,2613,24,0,3,4,3,3,4,3,4,1,No
EMP-0112,22,Female,Divorced,Bachelor,Medical,Finance,Finance Manager,Travel_Rarely,Yes,0,0,0,2,5384,16,0,4,4,4,4,3,3,3,13,Yes
EMP-0113,35,Female,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,No,14,8,2,3,5943,24,0,4,4,2,1,3,3,3,9,Yes
EMP-0114,29,Female,Married,Master,Medical,Engineering,Senior Engineer,Non-Travel,No,6,2,1,1,6537,20,0,3,3,3,3,3,3,1,13,No
EMP-0115,32,Female,Married,PhD,Other,Sales,Sales Representative,Travel_Rarely,Yes,14,6,10,2,6660,13,1,3,3,3,3,3,3,2,10,No
EMP-0116,35,Female,Married,PhD,Human Resources,Engineering,Senior Engineer,Travel_Rarely,No,1,1,1,2,6894,23,0,3,2,3,1,3,3,3,1,No
EMP-0117,33,Female,Married,Bachelor,Human Resources,Finance,Finance Analyst,Travel_Rarely,No,0,0,0,4,3730,25,1,4,3,4,1,4,4,1,4,No
EMP-0118,42,Male,Married,Bachelor,Marketing,Finance,Finance Manager,Travel_Rarely,No,2,2,2,1,5036,23,3,3,2,3,3,2,4,3,10,No
EMP-0119,22,Female,Divorced,High School,Human Resources,Engineering,Senior Engineer,Travel_Rarely,No,4,4,1,4,4577,14,2,3,3,3,4,3,3,3,17,No
EMP-0120,29,Male,Single,Master,Marketing,Finance,Auditor,Travel_Rarely,No,11,3,7,4,7361,21,2,4,3,3,1,1,4,5,18,No
EMP-0121,33,Male,Married,Bachelor,Medical,Operations,Operations Analyst,Travel_Rarely,No,9,0,6,2,3776,18,0,3,3,3,3,1,3,0,8,No
EMP-0122,29,Female,Single,Master,Medical,Sales,Sales Representative,Non-Travel,Yes,11,2,1,3,5303,19,3,3,3,4,3,3,3,3,7,No
EMP-0123,36,Female,Single,Master,Life Sciences,Marketing,Marketing Analyst,Travel_Rarely,No,7,7,0,2,4916,23,0,2,1,2,3,3,3,3,11,No
EMP-0124,39,Female,Married,Master,Human Resources,Sales,Sales Executive,Non-Travel,Yes,0,0,0,1,3760,19,2,4,4,3,1,4,3,5,29,No
EMP-0125,40,Male,Married,Master,Human Resources,Engineering,Software Engineer,Travel_Rarely,No,0,0,0,4,6184,11,0,3,4,2,4,3,3,6,4,No
EMP-0126,32,Female,Single,Bachelor,Other,Engineering,Data Analyst,Travel_Frequently,No,4,0,4,2,5408,22,1,3,4,3,3,3,2,3,9,No
EMP-0127,34,Female,Married,Bachelor,Technical Degree,Sales,Sales Representative,Non-Travel,Yes,16,1,4,3,4953,17,0,3,3,2,2,2,3,3,2,Yes
EMP-0128,26,Female,Single,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,Yes,1,0,1,4,3908,15,1,4,4,4,3,2,3,1,13,Yes
EMP-0129,42,Male,Single,Master,Marketing,Engineering,Data Analyst,Non-Travel,No,10,2,0,1,8537,23,0,3,2,2,3,4,3,3,8,No
EMP-0130,41,Female,Married,Bachelor,Marketing,Operations,Logistics Coordinator,Travel_Rarely,No,11,1,0,2,3925,15,0,3,3,3,4,3,4,4,6,No
EMP-0131,38,Male,Married,Bachelor,Other,Engineering,Senior Engineer,Non-Travel,No,2,2,1,1,4444,21,0,4,2,4,4,1,4,4,4,No
EMP-0132,30,Female,Married,Master,Life Sciences,Engineering,Senior Engineer,Travel_Rarely,No,4,2,1,3,6499,23,1,3,4,4,3,1,4,4,1,No
EMP-0133,36,Female,Married,Bachelor,Other,Sales,Sales Executive,Travel_Rarely,No,6,3,3,1,3351,22,1,3,4,3,4,2,2,2,6,No
EMP-0134,26,Male,Married,Master,Human Resources,Engineering,Tech Lead,Non-Travel,No,0,0,0,1,7161,16,2,3,2,4,1,4,3,2,1,No
EMP-0135,53,Male,Single,Master,Marketing,Engineering,Software Engineer,Non-Travel,No,11,0,0,1,8434,19,0,1,3,2,4,4,3,3,1,No
EMP-0136,42,Female,Married,Bachelor,Other,Engineering,Data Analyst,Non-Travel,No,19,0,3,6,8545,11,0,3,3,3,3,2,3,4,7,No
EMP-0137,35,Male,Divorced,Bachelor,Other,Sales,Sales Manager,Travel_Rarely,No,7,2,5,1,4249,21,0,3,3,3,3,4,3,4,2,No
EMP-0138,48,Male,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Rarely,No,1,1,0,2,3080,25,1,3,2,3,2,3,3,3,9,No
EMP-0139,60,Female,Divorced,Master,Marketing,Sales,Sales Manager,Travel_Rarely,Yes,8,0,8,4,5442,13,1,3,3,3,3,3,3,3,2,No
EMP-0140,36,Male,Married,Bachelor,Medical,Engineering,Software Engineer,Travel_Rarely,No,4,4,4,3,5729,22,2,3,3,3,3,3,4,3,1,No
EMP-0141,39,Male,Single,Master,Medical,Sales,Sales Manager,Travel_Frequently,No,4,3,2,4,5713,19,0,3,4,3,4,3,3,4,2,No
EMP-0142,46,Female,Married,Master,Medical,Finance,Finance Manager,Travel_Rarely,No,6,2,5,3,7255,24,2,3,2,4,3,3,4,3,29,No
EMP-0143,39,Female,Single,PhD,Other,Marketing,Marketing Manager,Travel_Frequently,Yes,4,0,4,3,6526,17,1,3,4,4,3,3,3,2,4,No
EMP-0144,34,Male,Divorced,Master,Other,Operations,Operations Analyst,Travel_Rarely,No,16,0,4,2,6503,16,0,3,1,4,4,3,3,3,5,No
EMP-0145,37,Female,Married,Bachelor,Marketing,Sales,Sales Manager,Travel_Rarely,No,2,2,2,3,3669,17,0,3,3,3,3,1,2,4,1,No
EMP-0146,25,Female,Divorced,Bachelor,Other,Engineering,Software Engineer,Travel_Frequently,No,7,3,2,4,5312,11,1,4,4,1,3,2,3,3,2,No
EMP-0147,37,Female,Single,Master,Life Sciences,Marketing,Marketing Manager,Non-Travel,No,19,0,0,3,8312,18,0,3,3,1,3,2,4,3,1,Yes
EMP-0148,30,Male,Married,Master,Medical,Operations,Operations Analyst,Travel_Frequently,No,12,10,0,5,5544,14,1,3,3,1,3,3,2,2,1,No
EMP-0149,28,Female,Single,High School,Life Sciences,Finance,Auditor,Non-Travel,No,7,7,0,3,4293,21,0,3,3,4,2,3,3,3,16,No
EMP-0150,42,Female,Married,Bachelor,Human Resources,Sales,Sales Representative,Travel_Rarely,No,20,3,2,3,5474,18,3,2,4,4,3,2,3,3,10,No
EMP-0151,27,Male,Married,Master,Technical Degree,Customer Support,Support Executive,Travel_Rarely,No,7,1,4,1,4223,22,1,4,4,1,1,2,1,1,1,No
EMP-0152,43,Male,Married,Bachelor,Other,HR,Payroll Specialist,Travel_Rarely,Yes,25,1,8,5,5374,23,1,3,3,2,4,3,3,3,14,Yes
EMP-0153,43,Female,Single,Bachelor,Medical,Marketing,Content Specialist,Travel_Rarely,No,4,4,0,1,3581,13,3,3,3,4,4,2,3,4,4,No
EMP-0154,42,Male,Married,Bachelor,Other,Operations,Logistics Coordinator,Non-Travel,No,3,3,1,2,3070,12,1,3,1,4,3,1,3,3,1,No
EMP-0155,51,Male,Divorced,Bachelor,Life Sciences,HR,HR Manager,Travel_Rarely,Yes,6,1,1,3,4058,13,3,3,1,4,1,1,3,5,4,Yes
EMP-0156,46,Female,Single,Bachelor,Marketing,Operations,Logistics Coordinator,Travel_Frequently,No,3,2,3,5,3050,11,0,4,3,2,3,1,3,3,1,No
EMP-0157,43,Male,Married,Master,Life Sciences,Operations,Operations Manager,Non-Travel,No,1,1,0,2,4887,19,2,3,2,3,4,4,3,4,2,No
EMP-0158,39,Male,Divorced,Bachelor,Other,Customer Support,Support Executive,Travel_Frequently,Yes,2,1,2,3,2474,11,3,3,4,4,2,3,3,3,4,No
EMP-0159,35,Female,Divorced,Bachelor,Other,Sales,Sales Executive,Travel_Rarely,No,8,0,2,1,3745,12,0,3,3,3,3,3,2,3,2,No
EMP-0160,35,Female,Married,Master,Marketing,Customer Support,Support Lead,Non-Travel,No,17,1,6,1,6726,16,2,3,4,2,2,3,3,1,27,No
EMP-0161,47,Male,Married,Master,Marketing,Engineering,Software Engineer,Travel_Rarely,Yes,15,0,0,4,8526,14,3,4,3,1,2,3,3,3,13,Yes
EMP-0162,40,Male,Married,Master,Life Sciences,Engineering,Data Analyst,Travel_Frequently,Yes,2,2,2,1,6225,20,1,1,4,4,2,4,3,3,5,No
EMP-0163,26,Female,Married,Bachelor,Other,Operations,Operations Analyst,Non-Travel,No,8,5,0,1,3936,16,0,4,3,1,3,2,3,4,8,No
EMP-0164,39,Female,Divorced,Bachelor,Technical Degree,Sales,Sales Executive,Non-Travel,No,5,0,1,3,3491,13,2,3,2,3,3,1,3,1,4,No
EMP-0165,52,Female,Married,Master,Marketing,Finance,Finance Analyst,Travel_Rarely,No,8,8,0,1,6368,15,2,3,3,2,1,3,1,4,2,No
EMP-0166,32,Female,Single,Bachelor,Other,Engineering,Senior Engineer,Travel_Rarely,No,0,0,0,1,4253,25,0,3,4,4,3,4,3,5,3,No
EMP-0167,37,Female,Married,High School,Other,Engineering,Tech Lead,Travel_Rarely,Yes,0,0,0,4,4806,11,1,4,4,4,4,3,3,1,9,Yes
EMP-0168,30,Female,Married,Bachelor,Medical,HR,Recruiter,Non-Travel,No,12,3,3,2,3895,16,0,4,1,2,3,2,2,3,28,No
EMP-0169,41,Male,Married,Bachelor,Medical,Finance,Finance Analyst,Travel_Rarely,No,1,1,0,3,4185,20,2,3,3,3,3,4,3,2,23,No
